Funder_display_name,funder_code
National Science Foundation,41___NATIONAL_SCIENCE_FOUNDATION_(ARLINGTON)
Narodowe Centrum Nauki,NCN
Japan Society for the Promotion of Science,41___JAPAN_SOCIETY_FOR_THE_PROMOTION_OF_SCIENCE_(TOKYO)
Deutsche Forschungsgemeinschaft,41___DEUTSCHE_FORSCHUNGSGEMEINSCHAFT_(BONN)
Knut och Alice Wallenbergs Stiftelse,KAWS
Agence Nationale de la Recherche,41___AGENCE_NATIONALE_DE_LA_RECHERCHE_(PARIS)
Fondo Nacional de Desarrollo Científico y Tecnológico,41___FONDO_NACIONAL_DE_DESARROLLO_CIENT�FICO_Y_TECNOL�GICO_(SANTIAGO)
Univerzita Karlova v Praze,UKP
U.S. Department of Energy,41___UNITED_STATES_DEPARTMENT_OF_ENERGY_(WASHINGTON_D.C.)
National Natural Science Foundation of China,41___NATIONAL_NATURAL_SCIENCE_FOUNDATION_OF_CHINA_(BEIJING)
Generalitat Valenciana,41___GENERALITAT_VALENCIANA_(VALENCIA)
"Ministerio de Ciencia, Innovaci�n y Universidades�",41___MINISTERIO_DE_CIENCIA_E_INNOVACI�N_(MADRID)
H2020 European Research Council,41___EUROPEAN_RESEARCH_COUNCIL_(BRUSSELS)
National Institute on Drug Abuse,41___NATIONAL_INSTITUTE_ON_DRUG_ABUSE_(BETHESDA)
National Institute on Alcohol Abuse and Alcoholism,41___NATIONAL_INSTITUTE_ON_ALCOHOL_ABUSE_AND_ALCOHOLISM_(BETHESDA)
World Bank Group,41___WORLD_BANK_GROUP_(WASHINGTON_D.C.)
Centers for Disease Control and Prevention,41___CENTERS_FOR_DISEASE_CONTROL_AND_PREVENTION_(ATLANTA)
Centres de Recerca de Catalunya,CDC
TRIUMF,TRIUMF
Arizona-Nevada Academy of Science,41___ARIZONA-NEVADA_ACADEMY_OF_SCIENCE_(LAS_VEGAS)
“la Caixa” Foundation,CF
Karlsruhe Institute of Technology,41___KARLSRUHE_INSTITUTE_OF_TECHNOLOGY_(KARLSRUHE)
Baden-W�rttemberg Stiftung,41___ARCH�OLOGISCHES_LANDESMUSEUM_BADEN-W�RTTEMBERG_(KONSTANZ)
Canarie,41___CANARIE_(OTTAWA)
Fundaci�n�BBVA,41___FUNDACI�N_BBVA_(MADRID)
Alexander von Humboldt-Stiftung,41___ALEXANDER_VON_HUMBOLDT_FOUNDATION_(BONN)
Helmholtz-Gemeinschaft,HG
"Ministry of Education, Culture, Sports, Science and Technology","41___MINISTRY_OF_EDUCATION,_CULTURE,_SPORTS,_SCIENCE_AND_TECHNOLOGY_(TOKYO)"
National Research Foundation,41___ARTHRITIS_NATIONAL_RESEARCH_FOUNDATION_(LONG_BEACH)
European Commission,41___EUROPEAN_COMMISSION_(BRUSSELS)
G�ran Gustafssons Stiftelse,GGS
Neubauer Family Foundation,NFF
Funda��o de Amparo à Pesquisa do Estado de S�o Paulo,FAPESP
United States-Israel Binational Science Foundation,41___UNITED_STATES-ISRAEL_BINATIONAL_SCIENCE_FOUNDATION_(JERUSALEM)
Danmarks Grundforskningsfond,DG
Schweizerischer Nationalfonds zur F�rderung der Wissenschaftlichen Forschung,SNFW
Austrian Science Fund,41___FWF_AUSTRIAN_SCIENCE_FUND_(VIENNA)
Bundesministerium f�r Bildung und Forschung ,BMBF
Chinese Academy of Sciences,41___CHINESE_ACADEMY_OF_SCIENCES_(BEIJING)
Federaci�n Espa�ola de Enfermedades Raras,41___FEDERACI�N_ESPA�OLA_DE_ENFERMEDADES_RARAS_(SEVILLE)
