id,display_name,display_name_alternatives,orcid
A5061582462,K. Reeves,Kendall Brad Reeves; K. Reeves; Kerri Reeves; Katherine W. Reeves; Kendall Reeves,https://orcid.org/0000-0003-3504-4882
A5070093678,J. R. Bensinger,Jim Bensinger; J. R. Bensinger; J.R Bensinger; J. Bensinger,
A5026410195,Sean C. Solomon,S. C. Solomon; Samuel Solomon; Sean Solomon; S. Solomon; Sean C. Solomon,https://orcid.org/0000-0001-8328-7251
A5059010578,A. Apyan,Aram Apyan; A. Apyan,https://orcid.org/0000-0002-9418-6656
A5052171520,Bruce M. Foxman,B. Foxman; Bruce Foxman; Bruce M. Foxman; B. M. Foxman,https://orcid.org/0000-0001-5707-8341
A5107829743,G. Sciolla,G. Sciolla,
A5032293034,D. Camarero Munoz,Daniel Camarero Munoz; D. Camarero Munoz; Daniel Muñoz; A. Camarero Munoz; A. Munoz; D. Muñoz; D. Camarero,https://orcid.org/0000-0002-2855-7738
A5107848345,L. Kirsch,L. E. Kirsch; L. Kirsch,
A5105829959,G. Frattari,G. Frattari; Guglielmo Frattari,https://orcid.org/0000-0002-7829-6564
A5107876414,S. Dhaliwal,S. Dhaliwal; Saminder Dhaliwal,
A5048113506,James E. Haber,N. Habermann; Nina Habermann; James E. Haber; J. Haber; J. E. Haber; James Haber,https://orcid.org/0000-0002-1878-0610
A5013954074,Irving R. Epstein,Irving Epstein; I. Epstein; I. R. Epstein; Iiving R. Epstein; Irving R. Epstein,https://orcid.org/0000-0003-3180-4055
A5014111316,Albert Guérard,Albert Leon Guerard; A. Guérard; A.L. Guerard; Albert L. Guerard; A. Guerard; Albert Guerard; Albert Guérard; A. L. Guérard; Albert Guêrard; Albert Léon Guérard,
A5041353759,Barry B. Snider,B. B. Snider; B.B Snider; B. Snider; Barry Snider; Barry. B. Snider; Barry B. Snider; B. B SNIDER; Barry B . Snider,
A5024858502,C. Blocker,Craig A. Blocker; C. A. Blocker; Craig Alan Blocker; Craig Blocker; C. Blocker,https://orcid.org/0000-0001-6898-5633
A5054511305,Eve Marder,E. Marder; Eve E. Marder; Eve Marder,https://orcid.org/0000-0001-9632-5448
A5003561069,G. Sciolla,G. Sciolla; Gabriella Sciolla,https://orcid.org/0000-0002-8482-1775
