funder_display_name,funder_code
National Science Foundation,41___NATIONAL_SCIENCE_FOUNDATION_(ARLINGTON)
World Bank Group,41___WORLD_BANK_GROUP_(WASHINGTON_D.C.)
Centers for Disease Control and Prevention,41___CENTERS_FOR_DISEASE_CONTROL_AND_PREVENTION_(ATLANTA)
National Institute on Alcohol Abuse and Alcoholism,41___NATIONAL_INSTITUTE_ON_ALCOHOL_ABUSE_AND_ALCOHOLISM_(BETHESDA)
National Institute on Drug Abuse,41___NATIONAL_INSTITUTE_ON_DRUG_ABUSE_(BETHESDA)
U.S. Department of Energy,41___CONNECTICUT_DEPARTMENT_OF_ENERGY_AND_ENVIRONMENTAL_PROTECTION_(HARTFORD)
Alexander von Humboldt-Stiftung,41___AMERICAN_FRIENDS_OF_THE_ALEXANDER_VON_HUMBOLDT_FOUNDATION_(WASHINGTON_D.C.)
Univerzita Karlova v Praze, UKvP
Fundación BBVA,41___FUNDACION_ARAUCARIA_FOUNDATION_(SAN_DIEGO)
Canarie,41___AFRICAN_AMERICAN_COMMUNITY_HEALTH_ADVISORY_COMMITTEE_(SAN_MATEO)
Baden-Württemberg Stiftung, 41___BADEN-WÜRTTEMBERG_STIFTUNG_(STUTTGART)
Karlsruhe Institute of Technology,41___KARLSRUHE_INSTITUTE_OF_TECHNOLOGY_(KARLSRUHE)
“la Caixa” Foundation,LCF
Arizona-Nevada Academy of Science,41___ARIZONA-NEVADA_ACADEMY_OF_SCIENCE_(LAS_VEGAS)
TRIUMF,41___ADLER_PLANETARIUM_(CHICAGO)
CERN,41___CERNER_(UNITED_STATES)_(NORTH_KANSAS_CITY)
Centres de Recerca de Catalunya, CERCA
Göran Gustafssons Stiftelser, GGS
Neubauer Family Foundation, NFF
"Türkiye Enerji, Nükleer ve Maden Araştırma Kurumu", TENMAK
Canada Foundation for Innovation, 41___CANADA_FOUNDATION_FOR_INNOVATION_(OTTAWA)
Leverhulme Trust, 41___LEVERHULME_TRUST_(LONDON)
Royal Society, 
