Name,Code
AFM-Téléthon,not_found
ALS Association,41___BRITISH_ARTS_FESTIVALS_ASSOCIATION_(LONDON)
Academia Sinica,41___ACADEMIA_SINICA_INSTITUTE_OF_ASTRONOMY_AND_ASTROPHYSICS_(TAIPEI)
Academy of Finland,not_found
Administration for Community Living,41___ADMINISTRATION_FOR_COMMUNITY_LIVING_(WASHINGTON_D.C.)
Advanced Scientific Computing Research,41___ADVANCED_SCIENTIFIC_COMPUTING_RESEARCH_(WASHINGTON_D.C.)
Agence Nationale de la Recherche,41___AGENCE_NATIONALE_DE_LA_RECHERCHE_(PARIS)
Agencia Estatal de Investigación,41___AGENCIA_ESTATAL_DE_INVESTIGACIÓN_(MADRID)
Agencia Nacional de Investigación y Desarrollo,41___AGENCIA_NACIONAL_DE_INVESTIGACIÓN_Y_DESARROLLO_(SANTIAGO)
Agencia Nacional de Promoción Científica y Tecnológica,not_found
Agency for Healthcare Research and Quality,41___AGENCY_FOR_HEALTHCARE_RESEARCH_AND_QUALITY_(ROCKVILLE)
Agència de Gestió d'Ajuts Universitaris i de Recerca,41___AGENCY_FOR_ADMINISTRATION_OF_UNIVERSITY_AND_RESEARCH_(BARCELONA)
Air Force Office of Scientific Research,41___UNITED_STATES_AIR_FORCE_OFFICE_OF_SCIENTIFIC_RESEARCH_(ARLINGTON)
"Albert Einstein College of Medicine, Yeshiva University",not_found
Alfred P. Sloan Foundation,41___ALFRED_P._SLOAN_FOUNDATION_(NEW_YORK)
Alphawood Foundation,41___ALPHAWOOD_FOUNDATION_(CHICAGO)
Alzheimer's Association,41___ALZHEIMER'S_ASSOCIATION_OF_ISRAEL_(RAMAT_GAN)
American Cancer Society,41___AMERICAN_CANCER_SOCIETY_(ATLANTA)
American Chemical Society Petroleum Research Fund,not_found
American Federation for Aging Research,41___AMERICAN_FEDERATION_FOR_AGING_RESEARCH_(NEW_YORK)
American Heart Association,41___AMERICAN_HEART_ASSOCIATION_(DALLAS)
American Institute of Physics,41___AMERICAN_INSTITUTE_OF_PHYSICS_(COLLEGE_PARK)
American Philosophical Society,41___AMERICAN_PHILOSOPHICAL_SOCIETY_(PHILADELPHIA)
American Sheep Industry Association,41___AMERICAN_SHEEP_INDUSTRY_ASSOCIATION_(ENGLEWOOD)
Andrew W. Mellon Foundation,41___ANDREW_W._MELLON_FOUNDATION_(NEW_YORK)
Army Research Laboratory,41___UNITED_STATES_ARMY_RESEARCH_LABORATORY_(ADELPHI)
Army Research Office,41___UNITED_STATES_ARMY_RESEARCH_OFFICE_(DURHAM)
