Unique_Funder,Matched_Funder,Matched_Code,Reliable(Y/N)
AFM-Téléthon,still_not_found,,
Academy of Finland,"Technology Academy Finland (Finland, Helsinki) - TAF",41___TECHNOLOGY_ACADEMY_FINLAND_(HELSINKI),
Agencia Nacional de Promoción Científica y Tecnológica,"Agencia Nacional de Promoción de la Investigación, el Desarrollo Tecnológico y la Innovación (Argentina, Buenos Aires) - ANPCyT",41___AGENCIA_NACIONAL_DE_PROMOCIÓN_CIENTÍFICA_Y_TECNOLÓGICA_(BUENOS_AIRES),
"Albert Einstein College of Medicine, Yeshiva University","Albert Einstein College of Medicine (United States, Bronx) - AECOM",41___ALBERT_EINSTEIN_COLLEGE_OF_MEDICINE_(THE_BRONX),
American Chemical Society Petroleum Research Fund,"American Chemical Society (United States, Washington D.C.) - ACS",41___AMERICAN_CHEMICAL_SOCIETY_(WASHINGTON_D.C.),
Basic and Applied Basic Research Foundation of Guangdong Province,"Russian Foundation for Basic Research (Russia, Moscow) - RFBR",41___RUSSIAN_FOUNDATION_FOR_BASIC_RESEARCH_(MOSCOW),
Bill and Melinda Gates Foundation,"Bill & Melinda Gates Foundation (United States, Seattle) - BMGF",41___BILL_&_MELINDA_GATES_FOUNDATION_(SEATTLE),
Blue Cross Blue Shield of Massachusetts Foundation,"Blue Cross Blue Shield of Massachusetts (United States, Boston) - BCBSMA",41___BLUE_CROSS_BLUE_SHIELD_OF_MASSACHUSETTS_(BOSTON),
Brain and Behavior Research Foundation,"Brain & Behavior Research Foundation (United States, New York)",41___BRAIN_&_BEHAVIOR_RESEARCH_FOUNDATION_(NEW_YORK),
Bundesministerium für Bildung und Forschung,"Dissens – Institut für Bildung und Forschung (Germany, Berlin)",41___DISSENS_–_INSTITUT_FÜR_BILDUNG_UND_FORSCHUNG_(BERLIN),
"Bundesministerium für Bildung, Wissenschaft und Forschung","Senatsverwaltung für Bildung, Jugend und Wissenschaft (Germany, Berlin)","41___SENATSVERWALTUNG_FÜR_BILDUNG,_JUGEND_UND_WISSENSCHAFT_(BERLIN)",
"Bundesministerium für Bildung, Wissenschaft, Forschung und Technologie","Senatsverwaltung für Bildung, Jugend und Wissenschaft (Germany, Berlin)","41___SENATSVERWALTUNG_FÜR_BILDUNG,_JUGEND_UND_WISSENSCHAFT_(BERLIN)",
Bureau of Justice Assistance,"Bureau of Justice Statistics (United States, Washington) - BJS",41___BUREAU_OF_JUSTICE_STATISTICS_(WASHINGTON),
California Department of Fish and Game,"Arizona Game and Fish Department (United States, Phoenix)",41___ARIZONA_GAME_AND_FISH_DEPARTMENT_(PHOENIX),
Cancéropôle Ile de France,"Cancéropôle Île-de-France (France, Paris)",41___CANCÉROPÔLE_ÎLE-DE-FRANCE_(PARIS),
Carlsbergfondet,still_not_found,,
"Center for AIDS Research, Johns Hopkins University","Johns Hopkins University Center for AIDS Research (United States, Baltimore) - JHU CFAR",41___JOHNS_HOPKINS_UNIVERSITY_CENTER_FOR_AIDS_RESEARCH_(BALTIMORE),
Center for Substance Abuse Prevention,"Centre for Research and Information on Substance Abuse (Nigeria, Uyo) - CRISA",41___CENTRE_FOR_RESEARCH_AND_INFORMATION_ON_SUBSTANCE_ABUSE_(UYO),
Center for Substance Abuse Treatment,"Centre for Research and Information on Substance Abuse (Nigeria, Uyo) - CRISA",41___CENTRE_FOR_RESEARCH_AND_INFORMATION_ON_SUBSTANCE_ABUSE_(UYO),
Central University Basic Research Fund of China,"Central Research Institute of Dental and Maxillofacial Surgery (Russia, Moscow) - CRID",41___CENTRAL_RESEARCH_INSTITUTE_OF_DENTAL_AND_MAXILLOFACIAL_SURGERY_(MOSCOW),
"China Medical University, Taiwan","China Medical University (Taiwan, Taichung) - CMU",41___CHINA_MEDICAL_UNIVERSITY_(TAICHUNG),
College and Graduate School of Arts and Sciences,"Ajmal College of Arts and Science (India, Dhubri)",41___AJMAL_COLLEGE_OF_ARTS_AND_SCIENCE_(DHUBRI),
Conselho Nacional de Desenvolvimento Científico e Tecnológico,"Fundação Cearense de Apoio ao Desenvolvimento Científico e Tecnológico (Brazil, Fortaleza) - FUNCAP",41___FUNDAÇÃO_CEARENSE_DE_APOIO_AO_DESENVOLVIMENTO_CIENTÍFICO_E_TECNOLÓGICO_(FORTALEZA),
